trip_duration,distance_traveled,num_of_passengers,fare,tip,miscellaneous_fees,total_fare,surge_applied
292.0,1.38,1.0,41.25,0,13.5,54.75,0
462.0,1.93,2.0,52.5,0,6.0,58.5,0
663.0,2.35,1.0,63.75,15,6.0,84.75,0
467.0,0.69,1.0,48.75,0,6.0,54.75,0
1684.0,12.15,1.0,191.25,38,33.625,262.875,1
194.0,1.29,1.0,33.75,8,5.950000000000003,47.7,0
610.0,2.7,1.0,63.75,24,34.575,122.325,1
467.0,2.04,1.0,56.25,0,13.5,69.75,0
760.0,3.73,1.0,78.75,0,9.75,88.5,0
437.0,6.13,1.0,93.75,1,9.349999999999994,104.1,0
1039.0,2.83,1.0,90.0,24,6.0,120.0,0
668.0,3.04,1.0,67.5,15,10.200000000000005,92.7,0
594.0,2.06,2.0,60.0,15,13.200000000000005,88.2,0
762.0,6.16,5.0,105.0,24,13.200000000000015,142.20000000000002,0
468.0,1.9,1.0,52.5,0,6.0,58.5,0
2600.0,6.73,1.0,180.0,0,6.0,186.0,0
660.0,2.48,1.0,67.5,0,6.0,73.5,0
621.0,3.7,1.0,67.5,0,9.75,77.25,0
1245.0,4.75,1.0,108.75,29,33.69999999999999,171.45,1
921.0,1.77,1.0,78.75,0,13.5,92.25,0
548.0,2.48,1.0,60.0,21,9.674999999999995,90.675,0
2709.0,10.9,1.0,225.0,22,2.75,249.75,0
2186.0,27.91,1.0,390.0,89,55.14999999999998,534.15,0
955.0,4.18,1.0,97.5,25,26.375,148.875,1
3164.0,16.88,1.0,318.75,0,55.125,373.875,0
450.0,2.0,1.0,52.5,13,13.700000000000005,79.2,0
324.0,1.4,1.0,45.0,8,5.650000000000006,58.650000000000006,0
468.0,1.21,6.0,48.75,11,5.950000000000003,65.7,0
2431.0,3.14,1.0,176.25,0,13.5,189.75,0
819.0,5.05,1.0,135.0,8,1.75,144.75,0
571.0,3.04,1.0,67.5,22,6.049999999999997,95.55,0
281.0,1.24,1.0,37.5,0,6.0,43.5,0
944.0,1.64,1.0,78.75,34,34.025000000000006,146.775,1
917.0,6.28,1.0,105.0,26,26.875,157.875,1
556.0,1.77,1.0,60.0,13,6.125,79.125,0
337.0,1.32,3.0,41.25,0,13.5,54.75,0
392.0,1.58,1.0,45.0,15,9.75,69.75,0
548.0,2.01,1.0,56.25,0,6.000000000000007,62.25000000000001,0
1681.0,15.77,1.0,225.0,25,26.375,276.375,1
1941.0,5.18,1.0,146.25,0,6.074999999999989,152.325,0
459.0,3.22,1.0,60.0,0,30.375,90.375,1
1855.0,8.55,1.0,168.75,29,26.94999999999999,224.7,1
4416.0,20.87,1.0,393.75,75,34.125,502.875,1
335.0,1.56,1.0,41.25,0,6.0,47.25,0
748.0,2.49,1.0,71.25,0,6.0,77.25,0
849.0,2.57,5.0,78.75,21,26.700000000000003,126.45,1
465.0,1.29,1.0,48.75,11,5.875,65.625,0
3392.0,11.46,2.0,285.0,0,9.75,294.75,0
536.0,1.48,1.0,52.5,16,14.0,82.5,0
938.0,2.88,1.0,86.25,18,6.450000000000003,110.7,0
598.0,2.8,1.0,67.5,0,13.5,81.0,0
558.0,2.49,1.0,60.0,13,6.200000000000003,79.2,0
994.0,2.93,1.0,86.25,0,6.0,92.25,0
1085.0,6.42,1.0,116.25,0,6.0,122.25,0
1275.0,3.89,1.0,105.0,26,26.94999999999999,157.95,1
477.0,2.51,1.0,60.0,11,13.75,84.75,0
268.0,0.97,1.0,37.5,0,9.75,47.25,0
735.0,3.43,1.0,75.0,0,9.75,84.75,0
543.0,2.66,1.0,63.75,18,26.700000000000003,108.45,1
3768.0,18.67,2.0,330.0,0,6.0,336.0,0
952.0,4.68,1.0,90.0,0,26.625,116.625,1
630.0,2.54,1.0,63.75,0,6.0,69.75,0
1321.0,7.26,1.0,135.0,0,13.5,148.5,0
837.0,2.53,1.0,78.75,17,5.950000000000003,101.7,0
261.0,1.27,5.0,37.5,9,5.700000000000003,52.2,0
200.0,1.37,1.0,33.75,0,13.5,47.25,0
879.0,3.8,1.0,86.25,0,13.5,99.75,0
1152.0,5.54,3.0,112.5,24,5.700000000000017,142.20000000000002,0
660.0,2.82,1.0,63.75,15,9.450000000000005,88.2,0
251.0,1.21,1.0,37.5,10,13.700000000000005,61.2,0
2194.0,16.74,3.0,251.25,38,5.5,294.75,0
319.0,1.71,1.0,45.0,15,6.0,66.0,0
796.0,3.54,1.0,78.75,0,9.75,88.5,0
370.0,2.67,1.0,56.25,0,9.75,66.0,0
518.0,3.62,1.0,67.5,19,26.450000000000003,112.95,1
434.0,2.7,1.0,56.25,12,6.450000000000003,74.7,0
840.0,3.94,1.0,86.25,18,6.450000000000003,110.7,0
560.0,1.46,1.0,56.25,16,5.6000000000000085,77.85000000000001,0
516.0,4.44,2.0,78.75,0,6.0,84.75,0
3135.0,9.59,1.0,240.0,0,34.125,274.125,1
1296.0,5.58,1.0,123.75,0,6.0,129.75,0
638.0,3.59,1.0,71.25,20,10.0,101.25,0
243.0,1.51,1.0,41.25,12,5.850000000000001,59.1,0
646.0,3.15,1.0,75.0,0,30.375,105.375,1
150.0,0.56,1.0,26.25,0,6.0,32.25,0
624.0,3.06,6.0,67.5,25,34.55,127.05,1
654.0,2.25,1.0,60.0,13,6.200000000000003,79.2,0
603.0,2.41,1.0,63.75,18,26.700000000000003,108.45,1
3645.0,15.51,2.0,322.5,0,6.0,328.5,0
701.0,2.08,1.0,67.5,11,6.25,84.75,0
366.0,1.24,1.0,41.25,11,13.450000000000005,65.7,0
166.0,0.8,1.0,30.0,9,5.625,44.625,0
959.0,6.84,1.0,116.25,0,6.0,122.25,0
718.0,5.75,5.0,93.75,25,5.900000000000006,124.65,0
648.0,2.95,6.0,71.25,19,6.349999999999994,96.6,0
2351.0,8.77,1.0,198.75,0,26.625,225.375,1
978.0,2.85,1.0,86.25,0,6.0,92.25,0
1156.0,2.9,1.0,101.25,0,6.0,107.25,0
375.0,2.04,1.0,48.75,8,6.325000000000003,63.075,0
365.0,1.29,2.0,45.0,20,10.0,75.0,0
1161.0,5.7,1.0,112.5,24,10.199999999999989,146.7,0
1602.0,9.37,1.0,161.25,0,9.75,171.0,0
7263.0,27.57,1.0,551.25,0,6.0,557.25,0
1048.0,4.39,1.0,97.5,0,6.0,103.5,0
1094.0,3.81,3.0,97.5,25,26.44999999999999,148.95,1
1271.0,6.36,1.0,123.75,0,26.625,150.375,1
311.0,2.22,5.0,45.0,8,5.650000000000006,58.650000000000006,0
299.0,0.79,1.0,37.5,9,5.700000000000003,52.2,0
461.0,2.09,1.0,52.5,20,26.125,98.625,1
523.0,1.71,1.0,56.25,12,6.450000000000003,74.7,0
768.0,2.45,1.0,71.25,0,26.625,97.875,1
1557.0,3.17,5.0,127.5,0,9.75,137.25,0
864.0,6.6,1.0,105.0,27,30.44999999999999,162.45,1
960.0,7.56,1.0,123.75,0,26.625,150.375,1
1558.0,10.91,1.0,187.5,0,55.125,242.625,0
1061.0,3.7,1.0,93.75,15,26.625,135.375,1
492.0,7.72,1.0,108.75,8,26.125,142.875,1
264.0,1.72,5.0,41.25,0,6.0,47.25,0
440.0,2.06,1.0,52.5,12,5.699999999999989,70.19999999999999,0
1178.0,5.39,1.0,112.5,24,5.700000000000017,142.20000000000002,0
1559.0,9.17,1.0,157.5,38,29.94999999999999,225.45,1
1620.0,10.69,1.0,172.5,41,29.94999999999999,243.45,1
812.0,3.07,3.0,78.75,23,33.69999999999999,135.45,1
426.0,2.59,1.0,52.5,0,6.0,58.5,0
508.0,1.01,1.0,45.0,15,6.299999999999997,66.3,0
723.0,2.33,1.0,67.5,15,10.200000000000005,92.7,0
544.0,2.03,1.0,56.25,14,13.450000000000005,83.7,0
484.0,1.83,1.0,52.5,0,13.5,66.0,0
499.0,1.9,1.0,56.25,0,6.000000000000007,62.25000000000001,0
258.0,0.85,1.0,37.5,0,9.75,47.25,0
763.0,2.49,2.0,71.25,0,6.0,77.25,0
977.0,3.86,1.0,93.75,19,26.375,139.125,1
691.0,1.74,1.0,60.0,0,6.0,66.0,0
902.0,3.33,1.0,86.25,20,13.450000000000005,119.7,0
5.0,0.02,1.0,18.75,0,6.0,24.75,0
85092.0,1.9,1.0,63.75,0,26.625,90.375,1
859.0,4.06,1.0,86.25,0,6.0,92.25,0
467.0,1.51,1.0,52.5,0,6.075000000000003,58.575,0
1191.0,5.95,2.0,116.25,0,13.5,129.75,0
166.0,1.01,1.0,33.75,0,9.75,43.5,0
11.0,0.02,1.0,18.75,22,14.0,54.75,0
562.0,2.25,1.0,60.0,0,6.0,66.0,0
1980.0,16.58,1.0,258.75,0,6.0,264.75,0
364.0,1.58,1.0,45.0,0,6.0,51.0,0
252.0,0.98,5.0,33.75,0,13.5,47.25,0
926.0,4.41,1.0,86.25,0,9.75,96.0,0
236.0,1.03,1.0,33.75,0,9.75,43.5,0
293.0,1.48,1.0,41.25,8,9.25,58.5,0
723.0,6.98,1.0,105.0,0,6.0,111.0,0
1072.0,6.29,1.0,112.5,28,26.450000000000017,166.95000000000002,1
747.0,5.65,2.0,101.25,26,30.69999999999999,157.95,1
458.0,2.12,1.0,48.75,11,5.950000000000003,65.7,0
1090.0,7.4,1.0,127.5,0,6.0,133.5,0
663.0,6.04,1.0,283.125,38,22.375,343.5,1
45.0,0.16,1.0,18.75,0,6.0,24.75,0
1057.0,6.6,1.0,120.0,0,9.75,129.75,0
568.0,9.35,5.0,131.25,35,10.0,176.25,0
1676.0,12.89,1.0,195.0,45,30.450000000000045,270.45000000000005,1
924.0,4.28,1.0,93.75,0,13.5,107.25,0
316.0,1.26,3.0,41.25,0,13.5,54.75,0
678.0,3.33,1.0,71.25,15,6.450000000000003,92.7,0
1996.0,10.14,1.0,187.5,52,27.125,266.625,1
578.0,3.86,1.0,71.25,26,34.44999999999999,131.7,1
495.0,1.9,1.0,52.5,13,13.700000000000005,79.2,0
548.0,6.36,2.0,97.5,0,6.0,103.5,0
1175.0,10.77,1.0,165.0,60,33.82499999999999,258.825,1
2170.0,11.75,6.0,191.25,0,26.625,217.875,1
768.0,3.85,1.0,127.5,26,2.200000000000017,155.70000000000002,0
1114.0,3.88,1.0,97.5,0,6.0,103.5,0
1180.0,3.54,2.0,97.5,0,13.5,111.0,0
547.0,2.48,1.0,60.0,8,5.5,73.5,0
1595.0,7.4,1.0,150.0,54,30.375,234.375,1
373.0,1.29,1.0,45.0,12,13.125,70.125,0
1607.0,6.47,1.0,146.25,0,9.75,156.0,0
839.0,4.59,1.0,90.0,25,9.650000000000006,124.65,0
2138.0,16.74,1.0,255.0,0,6.0,261.0,0
216.0,0.55,2.0,33.75,0,13.5,47.25,0
333.0,1.29,2.0,41.25,0,6.0,47.25,0
398.0,1.27,1.0,45.0,8,13.0,66.0,0
405.0,4.78,1.0,75.0,0,13.5,88.5,0
316.0,1.72,1.0,45.0,0,6.0,51.0,0
775.0,3.65,1.0,78.75,0,6.0,84.75,0
711.0,4.44,2.0,300.0,60,2.6999999999999886,362.7,0
755.0,8.88,1.0,127.5,1,5.599999999999994,134.1,0
1691.0,11.67,1.0,191.25,22,55.625,268.875,0
466.0,1.64,2.0,48.75,16,27.724999999999994,92.475,0
825.0,3.6,1.0,82.5,22,6.125,110.625,0
5.0,1.4,1.0,115.5,24,1.8000000000000114,141.3,0
1065.0,5.75,1.0,105.0,0,26.625,131.625,1
279.0,1.5,2.0,37.5,0,9.75,47.25,0
415.0,2.11,1.0,48.75,0,13.500000000000009,62.25000000000001,0
2245.0,16.87,2.0,262.5,0,6.0,268.5,0
2527.0,27.36,1.0,371.25,85,55.39999999999998,511.65,0
964.0,5.29,1.0,105.0,0,34.125,139.125,1
337.0,1.93,1.0,48.75,75,26.625,150.375,1
958.0,4.09,1.0,78.75,0,6.0,84.75,0
699.0,1.77,1.0,67.5,15,5.700000000000003,88.2,0
1316.0,7.89,1.0,142.5,0,26.625,169.125,1
579.0,2.37,1.0,60.0,13,6.200000000000003,79.2,0
768.0,3.59,1.0,78.75,22,9.875,110.625,0
1114.0,2.69,1.0,93.75,20,5.950000000000003,119.7,0
1670.0,6.12,2.0,138.75,0,26.625,165.375,1
2087.0,8.87,5.0,180.0,43,33.94999999999999,256.95,1
1293.0,5.18,1.0,116.25,0,13.5,129.75,0
508.0,4.06,1.0,71.25,16,9.950000000000005,97.2,0
154.0,0.55,1.0,26.25,0,13.5,39.75,0
1802.0,8.67,1.0,153.75,0,26.625,180.375,1
899.0,4.83,1.0,93.75,0,9.75,103.5,0
650.0,2.66,1.0,67.5,18,6.375,91.875,0
1880.0,10.75,2.0,375.0,30,22.875,427.875,1
2516.0,6.42,1.0,191.25,0,34.125,225.375,1
157.0,0.77,1.0,30.0,10,9.65,49.65,0
896.0,5.89,1.0,108.75,24,13.949999999999989,146.7,0
1286.0,6.44,1.0,123.75,26,5.950000000000017,155.70000000000002,0
1123.0,9.14,1.0,150.0,61,55.625,266.625,0
862.0,3.41,1.0,86.25,15,6.0,107.25,0
395.0,1.87,2.0,48.75,11,5.950000000000003,65.7,0
661.0,3.2,1.0,75.0,0,6.0,81.0,0
392.0,2.25,1.0,52.5,0,6.0,58.5,0
259.0,1.13,1.0,37.5,15,9.750000000000009,62.25000000000001,0
609.0,2.49,1.0,60.0,13,6.200000000000003,79.2,0
651.0,2.33,2.0,105.0,0,2.25,107.25,0
798.0,1.85,1.0,71.25,0,13.575000000000005,84.825,0
4468.0,37.98,1.0,566.25,207,124.875,898.125,1
624.0,3.25,2.0,71.25,0,6.0,77.25,0
255.0,1.71,1.0,41.25,8,13.75,63.0,0
709.0,3.96,1.0,78.75,0,13.5,92.25,0
459.0,0.87,2.0,48.75,0,6.0,54.75,0
894.0,6.24,1.0,108.75,15,9.75,133.5,0
1822.0,13.97,1.0,210.0,0,62.625,272.625,0
1287.0,6.6,1.0,127.5,0,6.0,133.5,0
775.0,3.22,1.0,75.0,0,9.75,84.75,0
1155.0,6.89,1.0,127.5,27,10.200000000000015,164.70000000000002,0
287.0,1.61,1.0,41.25,0,26.625,67.875,1
327.0,1.96,1.0,45.0,12,13.199999999999989,70.19999999999999,0
748.0,3.89,2.0,78.75,18,9.450000000000005,106.2,0
890.0,1.45,2.0,75.0,0,6.0,81.0,0
266.0,1.3,1.0,37.5,0,9.75,47.25,0
830.0,2.82,1.0,78.75,32,26.27500000000001,137.025,1
1200.0,4.97,1.0,112.5,8,26.125,146.625,1
1070.0,7.89,1.0,135.0,32,26.94999999999999,193.95,1
84973.0,6.15,2.0,112.5,24,5.700000000000017,142.20000000000002,0
1528.0,10.67,1.0,172.5,0,6.0,178.5,0
1738.0,7.56,1.0,150.0,31,6.125,187.125,0
1691.0,9.12,1.0,165.0,34,6.199999999999989,205.2,0
1005.0,4.55,1.0,97.5,0,6.0,103.5,0
529.0,2.7,1.0,60.0,0,13.5,73.5,0
472.0,1.27,1.0,48.75,16,6.424999999999997,71.175,0
701.0,3.38,1.0,75.0,0,26.625,101.625,1
679.0,3.27,1.0,71.25,16,9.950000000000005,97.2,0
1027.0,2.75,6.0,90.0,0,26.625,116.625,1
616.0,2.82,1.0,67.5,0,30.375,97.875,1
1360.0,6.66,2.0,135.0,0,6.0,141.0,0
756.0,3.01,1.0,75.0,0,6.0,81.0,0
416.0,2.57,1.0,56.25,0,6.000000000000007,62.25000000000001,0
565.0,2.72,2.0,67.5,0,6.0,73.5,0
495.0,2.24,1.0,56.25,21,26.325000000000003,103.575,1
782.0,2.03,1.0,71.25,0,6.0,77.25,0
696.0,10.86,1.0,146.25,50,55.44999999999999,251.7,0
644.0,2.8,1.0,63.75,14,5.950000000000003,83.7,0
524.0,3.38,1.0,67.5,15,5.625,88.125,0
1160.0,11.43,1.0,172.5,41,34.375,247.875,1
1119.0,3.73,1.0,97.5,19,26.225000000000023,142.72500000000002,1
353.0,1.48,1.0,45.0,0,6.0,51.0,0
820.0,2.82,1.0,75.0,15,26.849999999999994,116.85,1
296.0,1.42,1.0,37.5,10,13.700000000000005,61.2,0
404.0,1.37,1.0,48.75,11,5.950000000000003,65.7,0
593.0,2.77,1.0,63.75,8,33.625,105.375,1
620.0,2.41,1.0,67.5,4,5.674999999999997,77.175,0
1383.0,3.36,1.0,108.75,0,6.0,114.75,0
584.0,1.93,0.0,60.0,0,34.125,94.125,1
748.0,4.55,1.0,86.25,0,6.0,92.25,0
306.0,1.29,1.0,37.5,0,13.5,51.0,0
619.0,2.7,1.0,67.5,8,5.5,81.0,0
453.0,1.83,1.0,52.5,8,26.57499999999999,87.07499999999999,1
318.0,1.37,3.0,41.25,14,13.149999999999991,68.39999999999999,0
721.0,2.0,1.0,63.75,8,5.5,77.25,0
1136.0,3.99,6.0,101.25,19,26.82499999999999,147.075,1
603.0,2.51,1.0,63.75,0,34.125,97.875,1
420.0,2.35,1.0,56.25,15,9.75,81.0,0
315.0,1.29,1.0,41.25,10,9.875,61.125,0
182.0,1.08,1.0,33.75,0,6.0,39.75,0
677.0,1.88,1.0,60.0,11,6.25,77.25,0
730.0,2.3,1.0,60.0,0,6.0,66.0,0
762.0,2.57,1.0,71.25,17,13.450000000000005,101.7,0
762.0,2.35,2.0,67.5,24,13.799999999999995,105.3,0
392.0,1.59,1.0,45.0,0,13.5,58.5,0
524.0,1.67,1.0,56.25,16,5.6000000000000085,77.85000000000001,0
4344.0,2.91,1.0,60.0,8,5.5,73.5,0
601.0,1.92,1.0,60.0,17,26.950000000000003,103.95,1
2980.0,14.03,1.0,262.5,59,29.94999999999999,351.45,1
430.0,1.3,1.0,48.75,16,6.424999999999997,71.175,0
692.0,2.41,1.0,67.5,37,5.75,110.25,0
1041.0,4.02,1.0,97.5,25,26.375,148.875,1
439.0,1.46,1.0,48.75,0,13.500000000000009,62.25000000000001,0
800.0,2.74,1.0,75.0,0,6.0,81.0,0
232.0,1.45,1.0,37.5,0,9.75,47.25,0
2700.0,30.22,2.0,510.0,45,51.375,606.375,0
387.0,2.19,1.0,48.75,0,6.0,54.75,0
1213.0,4.65,1.0,112.5,0,6.0,118.5,0
200.0,1.93,1.0,41.25,0,13.5,54.75,0
1288.0,5.79,1.0,120.0,0,6.0,126.0,0
243.0,1.66,1.0,41.25,8,9.25,58.5,0
274.0,2.04,1.0,45.0,14,9.399999999999991,68.39999999999999,0
934.0,4.22,1.0,90.0,26,26.5,142.5,1
427.0,2.67,1.0,56.25,0,9.75,66.0,0
1065.0,4.18,1.0,101.25,15,6.0,122.25,0
406.0,2.48,1.0,52.5,12,5.699999999999989,70.19999999999999,0
1337.0,11.52,1.0,180.0,41,26.94999999999999,247.95,1
1895.0,5.86,1.0,153.75,0,6.0,159.75,0
341.0,1.66,1.0,45.0,0,9.75,54.75,0
563.0,2.86,1.0,67.5,0,26.625,94.125,1
549.0,1.85,1.0,56.25,16,5.6000000000000085,77.85000000000001,0
516.0,6.24,1.0,97.5,11,6.25,114.75,0
528.0,1.96,1.0,56.25,15,34.125,105.375,1
419.0,1.92,1.0,48.75,16,6.424999999999997,71.175,0
1548.0,4.02,0.0,123.75,0,26.625,150.375,1
334.0,2.29,1.0,48.75,12,13.950000000000005,74.7,0
552.0,2.45,1.0,56.25,13,5.75,75.0,0
739.0,7.03,1.0,108.75,24,9.450000000000015,142.20000000000002,0
1893.0,7.03,2.0,157.5,0,13.5,171.0,0
563.0,2.74,1.0,67.5,19,30.125,116.625,1
989.0,2.59,1.0,86.25,20,13.450000000000005,119.7,0
538.0,3.01,1.0,63.75,14,5.950000000000003,83.7,0
295.0,1.06,1.0,37.5,13,6.049999999999997,56.55,0
532.0,2.01,1.0,56.25,0,13.5,69.75,0
1882.0,13.57,2.0,221.25,55,55.39999999999998,331.65,0
1017.0,4.25,1.0,97.5,22,13.700000000000015,133.20000000000002,0
583.0,4.38,1.0,78.75,0,9.75,88.5,0
327.0,1.61,2.0,45.0,10,6.125,61.125,0
1852.0,16.09,1.0,236.25,52,27.125,315.375,1
595.0,2.2,1.0,60.0,0,13.5,73.5,0
1146.0,6.58,1.0,120.0,44,26.57499999999999,190.575,1
2200.0,13.58,1.0,225.0,0,6.0,231.0,0
451.0,2.16,1.0,52.5,13,13.700000000000005,79.2,0
761.0,2.66,1.0,71.25,19,6.349999999999994,96.6,0
1087.0,8.27,1.0,131.25,28,9.949999999999989,169.2,0
150.0,1.03,1.0,30.0,9,6.0,45.0,0
1787.0,17.51,1.0,236.25,188,13.0,437.25,0
716.0,2.74,1.0,71.25,0,6.0,77.25,0
884.0,3.36,3.0,78.75,0,26.625,105.375,1
4863.0,4.73,2.0,326.25,0,9.75,336.0,0
314.0,2.19,1.0,48.75,0,9.75,58.5,0
917.0,3.27,1.0,86.25,0,26.625,112.875,1
869.0,3.86,1.0,90.0,22,27.125,139.125,1
749.0,4.44,1.0,82.5,0,26.625,109.125,1
524.0,1.92,1.0,56.25,12,6.450000000000003,74.7,0
490.0,1.87,1.0,56.25,14,13.450000000000005,83.7,0
1121.0,6.73,1.0,116.25,0,9.75,126.0,0
471.0,2.9,0.0,60.0,21,9.375,90.375,0
1658.0,11.07,1.0,187.5,48,6.375,241.875,0
